"female","wjtest01","wjtest07","wjtest10","age","cutoff","freelunch","agexcutoff","race"
0,1,0,6,-215,0,1,0,"white"
1,2,4,1,-259,0,1,0,"hispanic"
0,11,7,11,-23,0,1,0,"hispanic"
1,4,4,0,-167,0,1,0,"hispanic"
0,1,2,0,-270,0,1,0,"hispanic"
1,9,2,2,-256,0,1,0,"hispanic"
0,4,7,1,-10,0,1,0,"hispanic"
0,6,11,11,-74,0,1,0,"hispanic"
0,0,5,0,-158,0,0,0,"hispanic"
0,3,6,2,-363,0,1,0,"hispanic"
1,2,6,2,-335,0,1,0,"white"
0,12,9,11,-239,0,0,0,"black"
0,6,7,13,-86,0,1,0,"white"
0,10,10,6,-246,0,1,0,"white"
1,4,5,12,-314,0,0,0,"white"
1,4,13,9,-24,0,1,0,"white"
1,1,5,0,-339,0,1,0,"hispanic"
0,5,7,10,-237,0,1,0,"hispanic"
1,6,4,1,-130,0,1,0,"white"
0,4,2,11,-249,0,1,0,"black"
0,2,1,1,-271,0,1,0,"black"
0,2,7,4,-118,0,1,0,"white"
1,1,5,2,-275,0,1,0,"black"
1,6,5,0,-91,0,1,0,"hispanic"
0,5,6,4,-233,0,1,0,"hispanic"
1,8,5,14,-333,0,1,0,"hispanic"
1,3,5,0,-179,0,1,0,"black"
1,2,1,3,-79,0,1,0,"hispanic"
1,3,6,13,-95,0,1,0,"other"
0,8,6,10,-217,0,1,0,"white"
1,4,6,2,27,1,1,27,"hispanic"
0,5,8,16,200,1,1,200,"hispanic"
1,12,8,16,82,1,1,82,"white"
1,2,4,0,82,1,1,82,"white"
1,4,6,5,324,1,1,324,"black"
1,8,10,14,357,1,1,357,"black"
1,8,7,14,85,1,1,85,"black"
1,6,5,4,-121,0,1,0,"black"
0,0,5,0,-345,0,1,0,"black"
0,3,5,6,-158,0,1,0,"black"
1,1,4,12,-365,0,1,0,"white"
1,6,8,9,-320,0,1,0,"black"
1,3,7,10,-23,0,1,0,"black"
1,9,6,10,-68,0,1,0,"hispanic"
1,6,7,0,-5,0,0,0,"white"
1,3,9,12,-97,0,1,0,"hispanic"
0,5,8,2,-111,0,1,0,"hispanic"
1,3,7,9,-19,0,1,0,"other"
0,2,2,13,-209,0,1,0,"white"
0,8,9,1,-325,0,1,0,"white"
1,0,1,0,-308,0,1,0,"white"
0,6,8,17,-327,0,1,0,"white"
0,3,2,3,-277,0,1,0,"white"
1,6,7,12,-156,0,1,0,"black"
1,1,7,2,-134,0,1,0,"black"
0,6,2,0,-38,0,1,0,"black"
0,0,0,13,-244,0,1,0,"other"
0,4,10,13,219,1,1,219,"hispanic"
1,9,9,15,239,1,1,239,"black"
0,3,7,10,346,1,1,346,"hispanic"
0,13,11,20,155,1,1,155,"black"
0,11,11,15,337,1,1,337,"black"
0,16,12,21,264,1,1,264,"hispanic"
0,6,4,11,305,1,1,305,"black"
0,6,7,17,218,1,1,218,"black"
1,2,8,10,194,1,1,194,"black"
0,4,8,12,147,1,1,147,"hispanic"
0,8,3,10,43,1,1,43,"white"
0,0,14,0,315,1,1,315,"black"
1,5,5,12,267,1,1,267,"black"
1,4,3,10,285,1,1,285,"black"
1,3,7,14,322,1,1,322,"black"
1,13,10,16,212,1,1,212,"black"
0,3,7,6,207,1,1,207,"hispanic"
0,5,4,12,291,1,1,291,"hispanic"
1,7,8,13,202,1,1,202,"hispanic"
1,2,4,6,274,1,1,274,"hispanic"
0,3,8,12,317,1,1,317,"hispanic"
1,3,4,9,270,1,1,270,"hispanic"
0,0,11,8,149,1,1,149,"black"
0,8,9,6,162,1,0,162,"black"
1,4,9,10,180,1,1,180,"hispanic"
0,7,7,16,226,1,1,226,"hispanic"
1,0,4,9,334,1,1,334,"black"
0,10,8,6,56,1,1,56,"black"
1,0,6,1,-124,0,1,0,"hispanic"
0,0,0,3,-95,0,1,0,"black"
0,3,8,7,-137,0,1,0,"hispanic"
0,0,7,0,-299,0,1,0,"hispanic"
1,3,5,10,-31,0,1,0,"white"
1,12,8,1,-28,0,1,0,"black"
0,3,6,2,-303,0,1,0,"hispanic"
1,0,5,0,-4,0,1,0,"hispanic"
1,3,6,0,-312,0,1,0,"hispanic"
0,0,1,0,-180,0,1,0,"hispanic"
1,4,1,9,-67,0,1,0,"hispanic"
0,0,1,0,-236,0,1,0,"hispanic"
1,0,1,0,-313,0,1,0,"hispanic"
1,3,3,9,-5,0,1,0,"hispanic"
0,3,0,0,-348,0,1,0,"hispanic"
1,0,10,0,-166,0,1,0,"hispanic"
0,2,6,0,-327,0,1,0,"black"
1,0,0,0,-278,0,1,0,"hispanic"
0,3,10,10,-233,0,1,0,"black"
0,2,3,0,27,1,1,27,"black"
0,9,5,7,364,1,1,364,"black"
1,8,1,12,219,1,1,219,"black"
1,8,1,11,33,1,1,33,"black"
1,2,1,8,-228,0,1,0,"black"
0,9,7,14,-81,0,1,0,"white"
0,2,7,12,-122,0,1,0,"hispanic"
0,14,3,14,-300,0,1,0,"white"
1,2,5,9,-195,0,0,0,"black"
0,11,8,8,-86,0,1,0,"hispanic"
1,5,4,3,-282,0,1,0,"white"
1,6,6,10,-69,0,1,0,"black"
0,13,4,12,-282,0,1,0,"black"
1,5,6,13,-286,0,1,0,"hispanic"
0,1,6,0,-308,0,1,0,"hispanic"
0,9,6,9,-136,0,1,0,"white"
1,0,5,6,-153,0,1,0,"hispanic"
1,0,3,10,-53,0,1,0,"hispanic"
1,2,5,5,-241,0,1,0,"hispanic"
0,1,0,0,-233,0,0,0,"other"
0,2,2,9,-337,0,1,0,"white"
1,2,7,15,108,1,1,108,"black"
1,3,7,20,21,1,1,21,"white"
0,1,6,10,240,1,1,240,"black"
1,10,9,11,170,1,1,170,"black"
1,4,6,9,268,1,1,268,"black"
1,6,8,10,189,1,1,189,"black"
0,9,11,15,199,1,1,199,"hispanic"
1,10,9,13,215,1,1,215,"black"
1,7,9,11,78,1,1,78,"hispanic"
1,9,9,11,348,1,1,348,"white"
1,15,12,11,327,1,1,327,"hispanic"
0,15,12,20,353,1,1,353,"white"
0,13,11,15,242,1,1,242,"black"
1,4,5,11,31,1,1,31,"other"
1,9,5,9,44,1,1,44,"black"
0,9,11,14,162,1,1,162,"black"
0,5,8,10,283,1,1,283,"black"
0,10,11,7,106,1,1,106,"hispanic"
1,5,8,15,104,1,1,104,"white"
1,10,11,19,4,1,1,4,"hispanic"
0,2,7,9,190,1,1,190,"hispanic"
0,3,9,11,245,1,1,245,"hispanic"
1,6,7,11,190,1,1,190,"black"
0,6,8,9,82,1,1,82,"hispanic"
1,5,7,11,223,1,1,223,"black"
0,4,7,13,242,1,1,242,"hispanic"
1,11,13,15,361,1,1,361,"black"
1,2,2,7,313,1,1,313,"hispanic"
0,5,6,4,63,1,1,63,"other"
0,8,9,13,326,1,1,326,"white"
1,6,7,10,246,1,1,246,"black"
0,11,7,13,292,1,1,292,"hispanic"
1,4,3,12,-16,0,1,0,"black"
0,5,5,5,-364,0,1,0,"black"
1,4,7,2,-365,0,1,0,"black"
1,3,5,9,-270,0,1,0,"black"
0,4,2,2,-83,0,1,0,"black"
0,0,0,0,-256,0,1,0,"black"
1,4,9,20,-81,0,1,0,"black"
0,4,5,7,-19,0,0,0,"black"
0,0,3,1,-305,0,1,0,"black"
0,0,0,0,-258,0,1,0,"black"
1,1,4,20,-19,0,1,0,"black"
0,6,7,7,-270,0,1,0,"black"
1,3,5,0,-311,0,1,0,"black"
0,0,2,10,-70,0,1,0,"black"
0,2,2,3,-345,0,1,0,"black"
1,2,3,1,-111,0,1,0,"black"
0,3,4,8,-165,0,1,0,"black"
1,2,4,8,-291,0,1,0,"black"
0,9,11,11,-117,0,1,0,"black"
0,3,6,6,-334,0,1,0,"black"
1,3,7,7,339,1,1,339,"hispanic"
1,2,3,3,197,1,1,197,"black"
1,4,1,11,-216,0,0,0,"black"
0,2,4,4,-189,0,1,0,"white"
1,10,8,13,-255,0,1,0,"black"
0,3,0,10,-65,0,1,0,"hispanic"
1,0,2,0,-340,0,1,0,"hispanic"
0,4,1,0,-46,0,1,0,"white"
0,0,6,0,-226,0,1,0,"hispanic"
1,9,7,10,-139,0,1,0,"hispanic"
1,1,1,2,-58,0,1,0,"hispanic"
